Name,mode,scale,label,kid,fid,sfid,faceid,losstype,eta
guide_mode=dynamic-nog-0.5*a+scale=1000+target=21177+losstype=cosine+eta=1.0,dynamic-nog-0.5*a,1000,21177,0.041078463,54.29639468,148.871473,0.604433954,cosine,1.0
guide_mode=dynamic-nog-0.5*a+scale=1000+target=21177+losstype=l2+eta=1.0,dynamic-nog-0.5*a,1000,21177,0.041110791,54.3741765,148.9117498,0.604441285,l2,1.0
guide_mode=dynamic-nog-0.5*a+scale=200+target=03437+losstype=cosine+eta=1.0,dynamic-nog-0.5*a,200,3437,0.045094121,57.04942878,140.1040933,0.732284606,cosine,1.0
guide_mode=dynamic-nog-0.5*a+scale=200+target=03437+losstype=l2+eta=1.0,dynamic-nog-0.5*a,200,3437,0.045123905,57.07863243,140.0837128,0.732317924,l2,1.0
guide_mode=dynamic-nog-0.5*a+scale=200+target=14255+losstype=cosine+eta=1.0,dynamic-nog-0.5*a,200,14255,0.046099883,57.75331555,140.0307322,0.698424459,cosine,1.0
guide_mode=dynamic-nog-0.5*a+scale=200+target=14255+losstype=l2+eta=1.0,dynamic-nog-0.5*a,200,14255,0.046073828,57.74202606,140.0433502,0.698402822,l2,1.0
guide_mode=dynamic-nog-0.5*a+scale=200+target=21177+losstype=cosine+eta=1.0,dynamic-nog-0.5*a,200,21177,0.045056496,56.982828,140.5930804,0.863892317,cosine,1.0
guide_mode=dynamic-nog-0.5*a+scale=200+target=21177+losstype=l2+eta=1.0,dynamic-nog-0.5*a,200,21177,0.045070544,56.98539139,140.5800423,0.863881648,l2,1.0
guide_mode=dynamic-nog-0.5*a+scale=500+target=03437+losstype=cosine+eta=1.0,dynamic-nog-0.5*a,500,3437,0.045053795,57.44480416,143.0014635,0.60577625,cosine,1.0
guide_mode=dynamic-nog-0.5*a+scale=500+target=03437+losstype=l2+eta=1.0,dynamic-nog-0.5*a,500,3437,0.045023076,57.39680426,143.0263544,0.605708957,l2,1.0
guide_mode=dynamic-nog-0.5*a+scale=500+target=14255+losstype=cosine+eta=1.0,dynamic-nog-0.5*a,500,14255,0.046327908,58.1828565,142.7245289,0.540946424,cosine,1.0
guide_mode=dynamic-nog-0.5*a+scale=500+target=14255+losstype=l2+eta=1.0,dynamic-nog-0.5*a,500,14255,0.046289776,58.11397606,142.6475312,0.540935636,l2,1.0
guide_mode=dynamic-nog-0.5*a+scale=500+target=21177+losstype=cosine+eta=1.0,dynamic-nog-0.5*a,500,21177,0.043211907,55.80718708,143.6385944,0.730798244,cosine,1.0
guide_mode=dynamic-nog-0.5*a+scale=500+target=21177+losstype=l2+eta=1.0,dynamic-nog-0.5*a,500,21177,0.043188062,55.80027628,143.5901331,0.730702341,l2,1.0
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+target=03437+losstype=cosine+eta=1.0,dynamic-two-0.1*a*(1-a),100,3437,0.03173136,44.6787486,120.9695545,0.803950369,cosine,1.0
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+target=03437+losstype=l2+eta=1.0,dynamic-two-0.1*a*(1-a),100,3437,0.031750884,44.69001873,120.9758318,0.803939939,l2,1.0
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+target=14255+losstype=cosine+eta=1.0,dynamic-two-0.1*a*(1-a),100,14255,0.031625595,44.52977615,121.1730487,0.778850615,cosine,1.0
