Name,mode,scale,label,validity,fid,sfid,is,precision,recall
guide_mode=classifier+scale=1.0+label=6,classifier,1,6,0.8921,44.96441008,142.8239157,2.664008617,0.771972656,0.418
guide_mode=classifier+scale=1.0+label=8,classifier,1,8,0.9707,40.46092606,145.9388898,2.986890078,0.736816406,0.292
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=5+label=6,dynamic-two-0.5*a-0.5*(1-a),5,6,0.4824,90.93542871,140.26363,5.880269051,0.429199219,0.613
guide_mode=dynamic-one-0.5*(1-a)+scale=5+label=8,dynamic-one-0.5*(1-a),5,8,0.5947,97.29910358,111.6213438,5.18770647,0.412597656,0.455
guide_mode=classifier+scale=2.0+label=1,classifier,2,1,0.9165,37.43591813,121.9413132,2.95593667,0.710449219,0.382
guide_mode=classifier+scale=2.0+label=8,classifier,2,8,0.9854,49.90988822,176.0733061,2.604268789,0.769042969,0.189
guide_mode=classifier+scale=2.0+label=6,classifier,2,6,0.9521,59.63297512,163.3319807,2.181533813,0.844726563,0.32
guide_mode=dynamic-one-0.5*(1-a)+scale=20+label=8,dynamic-one-0.5*(1-a),20,8,0.771,78.72124893,112.1047669,4.569794178,0.474121094,0.417
guide_mode=dynamic-one-0.5*(1-a)+scale=50+label=8,dynamic-one-0.5*(1-a),50,8,0.7886,83.27370172,113.4229175,4.622972965,0.461914063,0.35
guide_mode=dynamic-one-0.5*(1-a)+scale=100+label=8,dynamic-one-0.5*(1-a),100,8,0.7192,94.41345594,114.680083,4.673456192,0.415527344,0.299
guide_mode=dynamic-two-0.1*a*(1-a)+scale=2+label=8,dynamic-two-0.1*a*(1-a),2,8,0.4629,80.1616058,113.3379788,5.968623161,0.368164063,0.588
guide_mode=dynamic-two-0.1*a*(1-a)+scale=5+label=8,dynamic-two-0.1*a*(1-a),5,8,0.6523,57.55339101,111.1358873,4.84860754,0.469238281,0.526
guide_mode=dynamic-two-0.1*a*(1-a)+scale=20+label=8,dynamic-two-0.1*a*(1-a),20,8,0.834,42.86745182,112.1079804,4.005180359,0.577148438,0.476
guide_mode=dynamic-two-0.1*a*(1-a)+scale=50+label=8,dynamic-two-0.1*a*(1-a),50,8,0.8359,52.58170315,113.5954031,4.155982971,0.545898438,0.437
guide_mode=dynamic-nog-0.5*a+scale=2+label=1,dynamic-nog-0.5*a,2,1,0.4087,93.09115304,130.0577108,5.078410625,0.282226563,0.402
guide_mode=dynamic-one-0.5*(1-a)+scale=2+label=1,dynamic-one-0.5*(1-a),2,1,0.3916,93.38972391,126.2228394,5.05198431,0.297851563,0.466
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=6,dynamic-two-0.5*a*(1-a),100,6,0.5566,93.49709359,144.5362673,5.483576298,0.463867188,0.512
guide_mode=dynamic-nog-0.5*a+scale=20+label=6,dynamic-nog-0.5*a,20,6,0.6665,93.5780557,140.7989118,4.46837759,0.5,0.305
guide_mode=dynamic-nog-0.1*a+scale=2+label=6,dynamic-nog-0.1*a,2,6,0.3701,94.09309999,137.2600727,5.866645336,0.395996094,0.514
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+label=8,dynamic-two-0.1*a*(1-a),100,8,0.7705,68.86671694,115.7143368,4.479023933,0.472167969,0.403
guide_mode=dynamic-full-0.5*a*(1-a)+scale=20+label=1,dynamic-full-0.5*a*(1-a),20,1,0.2729,95.48884541,135.6900352,6.248077869,0.266113281,0.684
guide_mode=dynamic-full-0.1*a*(1-a)+scale=100+label=1,dynamic-full-0.1*a*(1-a),100,1,0.2764,95.59620577,130.7120738,6.157912731,0.264648438,0.661
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=6,dynamic-two-0.5*a-0.5*(1-a),50,6,0.584,96.12328584,143.9050973,5.23022604,0.486328125,0.457
guide_mode=dynamic-nog-0.1+scale=2+label=6,dynamic-nog-0.1,2,6,0.3789,96.37504158,138.1991174,5.818576813,0.390136719,0.511
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=2+label=8,dynamic-two-0.1*a-0.1*(1-a),2,8,0.4399,87.70010239,114.7395368,5.923248768,0.369140625,0.586
guide_mode=manifold+scale=20+label=6,manifold,20,6,0.561,97.72124369,142.9016837,5.618133545,0.461425781,0.46
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=5+label=8,dynamic-two-0.1*a-0.1*(1-a),5,8,0.6294,65.10866423,112.8961669,4.840438843,0.467773438,0.516
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=20+label=8,dynamic-two-0.1*a-0.1*(1-a),20,8,0.8149,49.11617115,114.8511979,4.077025414,0.540527344,0.434
guide_mode=dynamic-full-0.1*a*(1-a)+scale=50+label=6,dynamic-full-0.1*a*(1-a),50,6,0.2041,98.9273892,141.9635997,7.007950783,0.348144531,0.619
guide_mode=dynamic-one-0.5*(1-a)+scale=20+label=6,dynamic-one-0.5*(1-a),20,6,0.6431,99.98385361,138.7310783,4.913715363,0.458007813,0.358
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=50+label=8,dynamic-two-0.1*a-0.1*(1-a),50,8,0.8223,58.65351041,115.727392,4.283689976,0.497070313,0.408
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+label=6,dynamic-two-0.1*a*(1-a),100,6,0.5371,100.466376,144.4925614,5.663165569,0.438476563,0.461
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=100+label=8,dynamic-two-0.1*a-0.1*(1-a),100,8,0.7559,74.19855215,117.5398967,4.64688015,0.462402344,0.386
guide_mode=dynamic-nog-0.5+scale=20+label=6,dynamic-nog-0.5,20,6,0.6514,101.4270501,144.1783305,4.567792416,0.473632813,0.285
guide_mode=dynamic-nog-0.5+scale=2+label=1,dynamic-nog-0.5,2,1,0.3735,102.5710888,136.4903969,4.879049301,0.272949219,0.369
guide_mode=dynamic-fonly+scale=100+label=6,dynamic-fonly,100,6,0.5483,103.1172041,144.7896635,5.630896568,0.442382813,0.467
guide_mode=dynamic-two-0.5*a*(1-a)+scale=2+label=8,dynamic-two-0.5*a*(1-a),2,8,0.4561,76.75939843,119.2226069,5.889364719,0.376464844,0.611
guide_mode=dynamic-two-0.5*a*(1-a)+scale=5+label=8,dynamic-two-0.5*a*(1-a),5,8,0.6357,53.6825599,113.9782365,4.748650074,0.473632813,0.572
guide_mode=dynamic-full-0.5*a*(1-a)+scale=5+label=6,dynamic-full-0.5*a*(1-a),5,6,0.1367,104.245203,145.4027405,7.673048496,0.340820313,0.651
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=8,dynamic-two-0.5*a*(1-a),20,8,0.8306,39.07175473,111.7858145,3.747762918,0.587402344,0.502
