Name,mode,scale,label,validity,fid,sfid,is,precision,recall
guide_mode=dynamic-one-0.5*(1-a)+scale=20+label=1,dynamic-one-0.5*(1-a),20,1,0.8149,54.68590987,122.6251958,3.550784349,0.502929688,0.342
guide_mode=dynamic-full-0.1*a*(1-a)+scale=50+label=8,dynamic-full-0.1*a*(1-a),50,8,0.2471,116.5137064,121.0831722,7.429808617,0.26171875,0.635
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=5+label=1,dynamic-two-0.5*a-0.5*(1-a),5,1,0.6421,54.93069514,124.3588883,4.075296879,0.459472656,0.523
guide_mode=dynamic-nog-0.1+scale=5+label=1,dynamic-nog-0.1,5,1,0.6045,55.44278685,119.0200423,4.398331642,0.450195313,0.511
guide_mode=dynamic-full-0.5*a*(1-a)+scale=100+label=1,dynamic-full-0.5*a*(1-a),100,1,0.5825,55.94340948,125.6081672,4.545647144,0.454101563,0.619
guide_mode=dynamic-full-0.1*a*(1-a)+scale=100+label=8,dynamic-full-0.1*a*(1-a),100,8,0.3306,103.9641137,117.7423469,6.769178867,0.299804688,0.608
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=1,dynamic-two-0.5*a-0.5*(1-a),50,1,0.8535,56.49585211,127.3970136,3.441827059,0.553222656,0.4
guide_mode=dynamic-nog-0.1*a+scale=50+label=1,dynamic-nog-0.1*a,50,1,0.8398,56.66526721,126.6447412,3.511458158,0.547363281,0.392
guide_mode=manifold+scale=2+label=6,manifold,2,6,0.6587,57.08065111,129.6277361,4.684647083,0.530761719,0.554
guide_mode=dynamic-two-0.1*a*(1-a)+scale=20+label=6,dynamic-two-0.1*a*(1-a),20,6,0.6763,57.24140943,131.8955407,4.5110116,0.5703125,0.539
guide_mode=dynamic-full-0.5*a*(1-a)+scale=2+label=8,dynamic-full-0.5*a*(1-a),2,8,0.1294,132.5400511,135.7987562,8.168455124,0.224121094,0.644
guide_mode=dynamic-nog-0.1+scale=50+label=1,dynamic-nog-0.1,50,1,0.8398,57.65968849,126.7328047,3.640099764,0.527832031,0.37
guide_mode=dynamic-full-0.5*a*(1-a)+scale=5+label=8,dynamic-full-0.5*a*(1-a),5,8,0.1724,125.2124831,132.7326073,7.781472683,0.235839844,0.639
guide_mode=dynamic-full-0.5*a*(1-a)+scale=20+label=8,dynamic-full-0.5*a*(1-a),20,8,0.3164,101.1177014,125.6202294,6.784034729,0.286621094,0.636
guide_mode=dynamic-fonly+scale=20+label=6,dynamic-fonly,20,6,0.6772,59.18560532,132.1858153,4.424276829,0.576171875,0.509
guide_mode=dynamic-nog-0.5+scale=20+label=1,dynamic-nog-0.5,20,1,0.8174,59.30221983,128.6301714,3.589627981,0.501464844,0.277
guide_mode=classifier+scale=0.5+label=6,classifier,0.5,6,0.7339,43.42364159,131.4425939,3.689566135,0.64453125,0.509
guide_mode=dynamic-full-0.5*a*(1-a)+scale=50+label=8,dynamic-full-0.5*a*(1-a),50,8,0.4722,78.75203823,120.332348,5.961142063,0.344238281,0.633
guide_mode=classifier+scale=0.5+label=8,classifier,0.5,8,0.9038,37.72568429,125.3649196,3.588686466,0.658691406,0.405
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=1,dynamic-two-0.5*a*(1-a),100,1,0.8193,61.32292645,127.6946329,3.943257809,0.522949219,0.438
guide_mode=manifold+scale=20+label=1,manifold,20,1,0.8164,61.7265249,127.4011376,3.76383543,0.516113281,0.423
guide_mode=manifold+scale=5+label=6,manifold,5,6,0.6914,61.74670197,132.2892549,4.635569572,0.550292969,0.526
guide_mode=dynamic-full-0.5*a*(1-a)+scale=100+label=8,dynamic-full-0.5*a*(1-a),100,8,0.5942,62.97816039,117.5002597,5.422237873,0.404296875,0.601
guide_mode=dynamic-two-0.5*a*(1-a)+scale=5+label=6,dynamic-two-0.5*a*(1-a),5,6,0.5107,62.96492125,134.3947698,5.525974274,0.466796875,0.629
guide_mode=dynamic-nog-0.1+scale=2+label=8,dynamic-nog-0.1,2,8,0.4634,92.83222273,115.2398268,5.807940006,0.384765625,0.515
guide_mode=dynamic-nog-0.1+scale=5+label=8,dynamic-nog-0.1,5,8,0.6558,71.00385163,115.7066552,5.029421329,0.468261719,0.496
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=20+label=6,dynamic-two-0.1*a-0.1*(1-a),20,6,0.6733,63.45615762,132.9296561,4.628310204,0.568359375,0.514
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+label=1,dynamic-two-0.1*a*(1-a),100,1,0.8188,63.48974371,126.9252016,3.856419086,0.505371094,0.422
guide_mode=dynamic-nog-0.1+scale=20+label=8,dynamic-nog-0.1,20,8,0.8389,54.72287883,118.618473,4.276014328,0.547363281,0.401
guide_mode=dynamic-fonly+scale=100+label=1,dynamic-fonly,100,1,0.812,64.26541848,126.8815396,3.983397722,0.479492188,0.442
guide_mode=manifold+scale=1+label=6,manifold,1,6,0.5522,64.63578082,130.3759205,5.162591457,0.471679688,0.579
guide_mode=dynamic-full-0.5*a*(1-a)+scale=100+label=6,dynamic-full-0.5*a*(1-a),100,6,0.4985,64.84294974,135.1258895,5.399273872,0.452148438,0.659
guide_mode=dynamic-nog-0.1+scale=50+label=8,dynamic-nog-0.1,50,8,0.8271,63.03601658,119.2985249,4.378638268,0.502441406,0.401
guide_mode=dynamic-one-0.1*(1-a)+scale=20+label=1,dynamic-one-0.1*(1-a),20,1,0.7974,65.19775937,127.8366452,3.652407169,0.452148438,0.281
guide_mode=dynamic-two-0.1*a*(1-a)+scale=5+label=6,dynamic-two-0.1*a*(1-a),5,6,0.5059,65.52963765,131.4326078,5.455046654,0.475585938,0.586
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=100+label=1,dynamic-two-0.1*a-0.1*(1-a),100,1,0.8184,65.54648387,126.9521096,3.821037054,0.510742188,0.38
guide_mode=dynamic-one-0.5*(1-a)+scale=50+label=1,dynamic-one-0.5*(1-a),50,1,0.8403,66.31513451,128.1846558,3.665589809,0.488769531,0.307
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=1,dynamic-two-0.5*a-0.5*(1-a),100,1,0.832,66.32417978,128.2089701,3.716487169,0.501953125,0.389
guide_mode=dynamic-nog-0.1*a+scale=20+label=6,dynamic-nog-0.1*a,20,6,0.665,66.53676481,133.0285414,4.626520157,0.547851563,0.476
guide_mode=dynamic-fonly+scale=5+label=6,dynamic-fonly,5,6,0.5083,66.95900392,131.1122542,5.400405407,0.472167969,0.575
guide_mode=dynamic-nog-0.5*a+scale=50+label=1,dynamic-nog-0.5*a,50,1,0.8364,66.99246833,130.6278201,3.628272533,0.466796875,0.267
guide_mode=dynamic-nog-0.5*a+scale=5+label=1,dynamic-nog-0.5*a,5,1,0.6191,67.1613945,123.9495759,4.309994221,0.397460938,0.373
guide_mode=dynamic-nog-0.1+scale=100+label=1,dynamic-nog-0.1,100,1,0.8203,67.21146913,127.7129401,3.789608717,0.48828125,0.372
guide_mode=dynamic-nog-0.1*a+scale=100+label=1,dynamic-nog-0.1*a,100,1,0.8198,67.46959281,127.3009271,3.871326208,0.487792969,0.376
guide_mode=dynamic-nog-0.1+scale=20+label=6,dynamic-nog-0.1,20,6,0.6748,68.17795881,133.2269129,4.439502239,0.553222656,0.482
guide_mode=dynamic-one-0.5*(1-a)+scale=5+label=1,dynamic-one-0.5*(1-a),5,1,0.6089,68.24046237,121.0079034,4.310615063,0.381835938,0.428
guide_mode=dynamic-nog-0.1+scale=100+label=8,dynamic-nog-0.1,100,8,0.7666,77.7564404,120.0015849,4.559937477,0.459472656,0.361
guide_mode=dynamic-nog-0.1*a+scale=2+label=8,dynamic-nog-0.1*a,2,8,0.4585,91.31622481,114.6664725,5.867586613,0.384765625,0.537
guide_mode=dynamic-nog-0.1*a+scale=5+label=8,dynamic-nog-0.1*a,5,8,0.6426,69.31960421,114.6611086,5.001235485,0.467773438,0.494
guide_mode=dynamic-full-0.5*a*(1-a)+scale=50+label=1,dynamic-full-0.5*a*(1-a),50,1,0.4414,70.5392404,129.11041,5.274729252,0.370117188,0.657
guide_mode=dynamic-nog-0.1*a+scale=20+label=8,dynamic-nog-0.1*a,20,8,0.8252,53.40788278,117.6236415,4.287524223,0.524902344,0.423
guide_mode=dynamic-nog-0.1*a+scale=50+label=8,dynamic-nog-0.1*a,50,8,0.8252,61.75401907,118.199799,4.38421917,0.506347656,0.414
guide_mode=dynamic-nog-0.1*a+scale=100+label=8,dynamic-nog-0.1*a,100,8,0.7559,78.3802595,119.3279533,4.72542429,0.458007813,0.36
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=5+label=6,dynamic-two-0.1*a-0.1*(1-a),5,6,0.5122,72.16552883,132.8409712,5.403593063,0.471191406,0.6
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=6,dynamic-two-0.5*a*(1-a),50,6,0.6123,72.29780393,138.7599122,5.188744545,0.537109375,0.525
guide_mode=dynamic-nog-0.5+scale=50+label=1,dynamic-nog-0.5,50,1,0.8296,72.46312012,132.4292274,3.674351931,0.455078125,0.237
guide_mode=dynamic-nog-0.5+scale=5+label=1,dynamic-nog-0.5,5,1,0.6069,74.07987414,128.1015027,4.292965889,0.379394531,0.348
guide_mode=dynamic-nog-0.5+scale=2+label=8,dynamic-nog-0.5,2,8,0.4536,122.7921648,131.0019954,4.889829636,0.392089844,0.359
guide_mode=dynamic-two-0.5*a*(1-a)+scale=2+label=1,dynamic-two-0.5*a*(1-a),2,1,0.3857,75.26699278,129.4523132,5.63957262,0.345703125,0.661
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=2+label=1,dynamic-two-0.5*a-0.5*(1-a),2,1,0.4438,75.28532086,129.5221196,5.085796356,0.352050781,0.571
guide_mode=dynamic-full-0.5*a*(1-a)+scale=50+label=6,dynamic-full-0.5*a*(1-a),50,6,0.3994,75.37217076,137.005121,5.935990334,0.4296875,0.674
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=2+label=1,dynamic-two-0.1*a-0.1*(1-a),2,1,0.4009,75.76389541,124.28076,5.444705963,0.331054688,0.596
guide_mode=dynamic-two-0.1*a*(1-a)+scale=50+label=6,dynamic-two-0.1*a*(1-a),50,6,0.6245,75.93920126,137.5690841,5.050132275,0.516601563,0.524
guide_mode=dynamic-two-0.1*a*(1-a)+scale=2+label=1,dynamic-two-0.1*a*(1-a),2,1,0.3804,76.30693456,125.0777383,5.557992458,0.334960938,0.626
