Name,mode,scale,label,eta,validity,fid,sfid,is,precision,recall
guide_mode=dynamic-two-0.5*a*(1-a)+scale=2+label=8,dynamic-two-0.5*a*(1-a),2,8,1,0.4561,76.75939843,119.2226069,5.889364719,0.376464844,0.611
guide_mode=dynamic-two-0.5*a*(1-a)+scale=5+label=8,dynamic-two-0.5*a*(1-a),5,8,1,0.6357,53.6825599,113.9782365,4.748650074,0.473632813,0.572
guide_mode=dynamic-full-0.5*a*(1-a)+scale=5+label=6,dynamic-full-0.5*a*(1-a),5,6,1,0.1367,104.245203,145.4027405,7.673048496,0.340820313,0.651
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=8,dynamic-two-0.5*a*(1-a),20,8,1,0.8306,39.07175473,111.7858145,3.747762918,0.587402344,0.502
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=2+label=6,dynamic-two-0.5*a-0.5*(1-a),2,6,1,0.3516,105.5994952,143.519537,6.178374767,0.378417969,0.635
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=100+label=6,dynamic-two-0.1*a-0.1*(1-a),100,6,1,0.5474,106.7914779,145.9291971,5.460429192,0.440917969,0.419
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=8,dynamic-two-0.5*a*(1-a),50,8,1,0.8315,48.50621012,113.2993477,4.025447369,0.54296875,0.436
guide_mode=dynamic-nog-0.1+scale=100+label=6,dynamic-nog-0.1,100,6,1,0.5352,107.796123,146.584153,5.232972145,0.452148438,0.387
guide_mode=dynamic-nog-0.5*a+scale=50+label=6,dynamic-nog-0.5*a,50,6,1,0.6108,107.9027958,145.2643366,4.934400558,0.480957031,0.296
guide_mode=dynamic-full-0.1*a*(1-a)+scale=20+label=6,dynamic-full-0.1*a*(1-a),20,6,1,0.1284,108.9778459,146.7208509,7.880126476,0.327148438,0.6
