Name,mode,label,scale,eta,validity,fid,sfid,is,precision,recall
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=20+label=6,dynamic-two-0.1*a-0.1*(1-a),6,20,0,0.7407,24.06016837,44.20273383,1.767728806,0.447265625,0.811064718
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=20+label=8,dynamic-two-0.1*a-0.1*(1-a),8,20,0,0.8833,14.58035621,37.83381313,1.688506246,0.588867188,0.811088296
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=6,dynamic-two-0.5*a*(1-a),6,100,0,0.8428,28.4483235,44.92115085,1.676870823,0.466308594,0.655532359
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=8,dynamic-two-0.5*a*(1-a),8,100,0,0.9209,17.0944681,39.14469236,1.677853584,0.582519531,0.818275154
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=4,dynamic-two-0.5*a*(1-a),4,100,0,0.9316,24.49625687,46.72730167,1.6427356,0.478515625,0.697556008
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=1,dynamic-two-0.5*a*(1-a),1,100,0,0.8813,65.15738097,79.04157246,1.984646916,0.533203125,0.825550661
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=6,dynamic-two-0.5*a*(1-a),6,50,0,0.8184,26.02485289,43.66816345,1.717633843,0.456542969,0.746346555
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=4,dynamic-two-0.5*a*(1-a),4,50,0,0.9258,20.33956855,42.76895831,1.637297869,0.518554688,0.763747454
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=8,dynamic-two-0.5*a*(1-a),8,50,0,0.9214,14.33682267,36.57285472,1.65073967,0.596191406,0.831622177
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=1,dynamic-two-0.5*a*(1-a),1,50,0,0.8516,59.1474714,74.13943302,2.001030684,0.529785156,0.862555066
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=6,dynamic-two-0.5*a*(1-a),6,20,0,0.7383,24.57038997,44.51706701,1.752568007,0.432128906,0.825678497
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=1,dynamic-two-0.5*a*(1-a),1,20,0,0.7617,56.32112285,72.85538893,2.052358627,0.517578125,0.870484581
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=4,dynamic-two-0.5*a*(1-a),4,20,0,0.8735,19.54043636,40.45947272,1.72720468,0.509277344,0.803462322
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=8,dynamic-two-0.5*a*(1-a),8,20,0,0.8838,15.11857767,38.3868715,1.695190668,0.589355469,0.81211499
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=1,dynamic-two-0.5*a-0.5*(1-a),1,100,0,0.8633,76.03611866,88.09356444,2.02576232,0.456542969,0.823788546
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=4,dynamic-two-0.5*a-0.5*(1-a),4,100,0,0.9268,30.89030318,49.06842512,1.63614583,0.405273438,0.693482688
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=6,dynamic-two-0.5*a-0.5*(1-a),6,100,0,0.8296,36.22697357,47.89912226,1.679735661,0.388671875,0.645093946
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=8,dynamic-two-0.5*a-0.5*(1-a),8,100,0,0.9165,21.8943988,41.88778677,1.687671065,0.52734375,0.794661191
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=1,dynamic-two-0.5*a-0.5*(1-a),1,50,0,0.8198,68.95788561,81.861721,2.041231155,0.463867188,0.871365639
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=6,dynamic-two-0.5*a-0.5*(1-a),6,50,0,0.7988,32.26185229,47.12240307,1.731686711,0.409667969,0.725469729
